Id Label Weight
连枝 连枝 1
郎一 郎一 1
永崇坊 永崇坊 2
子午谷 子午谷 1
张大帅 张大帅 1
畅怀 畅怀 1
连礼 连礼 1
布满 布满 1
别以为 别以为 1
陆三 陆三 4
胡之人 胡之人 1
和善 和善 1
粟特老 粟特老 1
粟特老胡 粟特老胡 1
老胡 老胡 2
薄布 薄布 1
连坊门 连坊门 1
陈旧 陈旧 1
查一查 查一查 1
平卢留 平卢留 5
永崇宣平 永崇宣平 3
蔚蓝 蔚蓝 1
玄边 玄边 2
平卢节 平卢节 1
刘骆谷 刘骆谷 14
卢留 卢留 2
公忠体国 公忠体国 1
黄麻 黄麻 1
戴面纱 戴面纱 1
司若 司若 1
铁铸 铁铸 1
法网恢恢 法网恢恢 1
孤胆 孤胆 2
和煦 和煦 1
高博 高博 1
宣平 宣平 1
碧玉 碧玉 1
老翁 老翁 1
巨石 巨石 1
古董 古董 1
柳林 柳林 2
雅静 雅静 1
贺曾远 贺曾远 1
查勤 查勤 1
贺家 贺家 1
余荫 余荫 1
贺宅 贺宅 1
任范阳 任范阳 1
冉冉升起 冉冉升起 1
杨国忠 杨国忠 6
韦坚 韦坚 1
杜有邻 杜有邻 1
太上皇 太上皇 3
白衣宰相 白衣宰相 1
代宗 代宗 2
归隐 归隐 1
卓绝 卓绝 1
郭子仪 郭子仪 1
金紫光 金紫光 1
于天宝 于天宝 1
秦景教 秦景教 1
了肃宗 了肃宗 1
李辅国 李辅国 1
宗一朝 宗一朝 1
玄宗 玄宗 2
杨贵妃 杨贵妃 2
赫赫 赫赫 1
于赓 于赓 1
大力支持 大力支持 1
